,,,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Toral,Toral
Secretaria,100, CONTRIBUIÇÃO  À UNDIME ,191,Contribuições,15001,"R$ 2.000,00",,,"R$ 162,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.838,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.838,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,196,Indenizações e Restituições Trabalhistas,1500,"R$ 0,00","R$ 10.355,80",,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 10.355,80","R$ 10.355,80","R$ 10.355,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 10.355,80","R$ 10.355,80","R$ 10.355,80"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,198,Materiais de Consumo,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,201,Serviços de Terceiros PJ,1500,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,204,Indenizações e restrições,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,192,Contratação por tempo Determinado,15001,"R$ 35.000,00",,,"R$ 30.184,41","R$ 2.656,88","R$ 2.656,88","R$ 2.269,40","R$ 2.158,71","R$ 2.158,71","R$ 2.203,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.815,59","R$ 4.815,59","R$ 4.472,40"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,193,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 380.000,00",,,"R$ 331.513,07","R$ 22.777,01","R$ 22.777,01","R$ 22.777,01","R$ 25.709,92","R$ 25.709,92","R$ 25.709,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 48.486,93","R$ 48.486,93","R$ 48.486,93"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,194,Obrigações Patronais,15001,"R$ 54.000,00",,,"R$ 45.880,17","R$ 4.025,06","R$ 4.025,06","R$ 0,00","R$ 4.094,77","R$ 4.094,77","R$ 4.025,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 8.119,83","R$ 8.119,83","R$ 4.025,06"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,195,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 2.000,00",,,"R$ 1.805,48","R$ 0,00","R$ 0,00","R$ 0,00","R$ 194,52","R$ 194,52","R$ 194,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 194,52","R$ 194,52","R$ 194,52"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,196,Indenizações e Restituições Trabalhistas,15001,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,197,Diárias - Pessoal Civil,15001,"R$ 15.000,00",,,"R$ 13.920,00","R$ 1.080,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.080,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,198,Materiais de Consumo,15001,"R$ 50.000,00",,,"R$ 43.908,42","R$ 6.091,58","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.352,27","R$ 310,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.091,58","R$ 1.352,27","R$ 310,96"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,199,Passagens e despesas com locomoção,15001,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,200,Serviços de Terceiro PF ,15001,"R$ 20.000,00",,,"R$ 13.048,90","R$ 6.951,10","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.390,22","R$ 1.390,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.951,10","R$ 1.390,22","R$ 1.390,22"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,201,Serviços de Terceiros PJ,15001,"R$ 80.000,00",,,"R$ 14.325,01","R$ 64.394,99","R$ 187,57","R$ 187,57","R$ 1.280,00","R$ 6.438,59","R$ 6.069,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 65.674,99","R$ 6.626,16","R$ 6.257,56"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,202,Auxílio-alimentação,15001,"R$ 7.000,00",,,"R$ 5.555,00","R$ 750,00","R$ 750,00","R$ 750,00","R$ 695,00","R$ 695,00","R$ 695,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.445,00","R$ 1.445,00","R$ 1.445,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,203,Despesas de exercícios anteriores,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,205,Equipamentos e Materiais Permanentes ,15001,"R$ 20.000,00",,,"R$ 20.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,201,Serviços de Terceiros PJ,1571,"R$ 50,00",,,"R$ 0,00","R$ 50,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 50,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,204,Indenizações e restrições,1571,"R$ 50,00",,,"R$ 50,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.100,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",215,Obras e Instalações ,15001,"R$ 250.000,00",,"R$ 175.485,63","R$ 74.514,37","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.100,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",215,Obras e Instalações ,1550,"R$ 200.000,00",,,"R$ 200.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil ,1.105,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",228,Obras e Instalações ,15001,"R$ 150.000,00",,"R$ 13.242,03","R$ 136.757,97","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil ,1.105,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",228,Obras e Instalações ,1550,"R$ 150.000,00",,,"R$ 150.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,206,Contratação por tempo Determinado,15001,"R$ 158.000,00",,,"R$ 103.622,20","R$ 27.467,52","R$ 27.467,52","R$ 23.443,23","R$ 26.910,28","R$ 26.910,28","R$ 26.878,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 54.377,80","R$ 54.377,80","R$ 50.321,60"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,207,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 350.000,00",,,"R$ 343.516,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.484,00","R$ 6.484,00","R$ 6.484,00"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,208,Obrigações Patronais,15001,"R$ 45.000,00",,,"R$ 43.892,94","R$ 553,53","R$ 553,53","R$ 0,00","R$ 553,53","R$ 553,53","R$ 553,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.107,06","R$ 1.107,06","R$ 553,53"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,209,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 80.000,00",,,"R$ 78.970,49","R$ 126,71","R$ 126,71","R$ 126,71","R$ 902,80","R$ 902,80","R$ 902,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.029,51","R$ 1.029,51","R$ 1.029,51"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,210,Indenizações e Restituições Trabalhistas,15001,"R$ 16.000,00",,"R$ 2.648,89","R$ 13.351,11","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,211,Materiais de Consumo,15001,"R$ 350.000,00",,,"R$ 246.982,03","R$ 87.900,37","R$ 0,00","R$ 0,00","R$ 15.117,60","R$ 30.378,53","R$ 12.962,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 103.017,97","R$ 30.378,53","R$ 12.962,36"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,212,Serviços de Terceiro PF ,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,213,Serviços de Terceiros PJ,15001,"R$ 1.400.000,00",,,"R$ 697.646,46","R$ 14.742,72","R$ 0,00","R$ 0,00","R$ 687.610,82","R$ 10.197,44","R$ 3.662,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 702.353,54","R$ 10.197,44","R$ 3.662,93"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,214,Auxílio-alimentação,15001,"R$ 21.600,00",,,"R$ 18.600,00","R$ 1.500,00","R$ 1.500,00","R$ 1.500,00","R$ 1.500,00","R$ 1.500,00","R$ 1.500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 3.000,00","R$ 3.000,00","R$ 3.000,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,217,Vencimentos e Vantagens Fixas - Pessoal Civil,1500,"R$ 25.000,00",,"R$ 8.250,00","R$ 16.750,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,218,Obrigações Patronais,1500,"R$ 4.000,00",,,"R$ 4.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,219,Outras Despesas Variáveis - Pessoal Civil,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,220,Indenizações e Restituições Trabalhistas,1500,"R$ 5.000,00","R$ 2.648,89",,"R$ 0,00","R$ 7.648,89","R$ 7.648,89","R$ 7.648,89","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 7.648,89","R$ 7.648,89","R$ 7.648,89"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,221,Diárias - Pessoal Civil,1500,"R$ 4.000,00",,,"R$ 3.700,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 300,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 300,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,223,Serviços de Terceiro PF ,1500,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,224,Serviços de Terceiros PJ,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,225,Auxílio-alimentação,1500,"R$ 1.800,00",,,"R$ 1.800,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,216,Contratação por tempo Determinado,15001,"R$ 518.000,00",,,"R$ 496.663,57","R$ 11.579,29","R$ 11.579,29","R$ 9.890,60","R$ 9.757,14","R$ 9.757,14","R$ 10.022,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 21.336,43","R$ 21.336,43","R$ 19.913,47"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,217,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 2.600.000,00",,,"R$ 2.551.377,18","R$ 14.808,06","R$ 14.808,06","R$ 14.808,06","R$ 33.814,76","R$ 33.814,76","R$ 33.814,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 48.622,82","R$ 48.622,82","R$ 48.622,82"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,218,Obrigações Patronais,15001,"R$ 416.000,00",,,"R$ 406.194,59","R$ 3.141,04","R$ 3.141,04","R$ 0,00","R$ 6.664,37","R$ 6.664,37","R$ 3.262,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 9.805,41","R$ 9.805,41","R$ 3.262,61"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,219,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
