,,,,,,,,,,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago,Empenhado ,Liquidado,Pago
Categoria ,Código AT,Atividade ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro,Total,Toral,Toral
Secretaria,100, CONTRIBUIÇÃO  À UNDIME ,191,Contribuições,15001,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.838,00",,,"R$ 0,00","R$ 1.838,00","R$ 1.838,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 1.838,00","R$ 1.838,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,196,Indenizações e Restituições Trabalhistas,1500,"R$ 0,00","R$ 10.355,80",,"R$ 10.355,80","R$ 0,00","R$ 0,00","R$ 0,00","R$ 10.355,80","R$ 10.355,80","R$ 10.355,80","R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 10.355,80","R$ 10.355,80"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,198,Materiais de Consumo,1500,"R$ 1.000,00",,,"R$ 695,28","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00",,,"R$ 304,72","R$ 115,98","R$ 115,98",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 304,72","R$ 115,98","R$ 115,98"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,201,Serviços de Terceiros PJ,1500,"R$ 3.000,00",,,"-R$ 13.637,71","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 16.637,71","R$ 20,00","R$ 20,00","R$ 0,00","R$ 16.537,71","R$ 5.682,83",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 16.637,71","R$ 16.557,71","R$ 5.702,83"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,204,Indenizações e restrições,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,192,Contratação por tempo Determinado,15001,"R$ 35.000,00",,,"R$ 32.343,12","R$ 2.656,88","R$ 2.656,88","R$ 2.269,40","R$ 2.158,71","R$ 2.158,71","R$ 2.203,00","R$ 0,00",,"R$ 343,19","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.656,88","R$ 4.815,59","R$ 4.815,59"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,193,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 380.000,00",,,"R$ 307.389,82","R$ 22.777,01","R$ 22.777,01","R$ 22.777,01","R$ 25.709,92","R$ 25.709,92","R$ 25.709,92","R$ 23.746,82","R$ 23.746,82","R$ 23.746,82","R$ 26.086,35","R$ 26.086,35","R$ 26.086,35",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 72.610,18","R$ 98.320,10","R$ 98.320,10"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,194,Obrigações Patronais,15001,"R$ 54.000,00",,,"R$ 41.488,94","R$ 4.025,06","R$ 4.025,06","R$ 0,00","R$ 4.094,77","R$ 4.094,77","R$ 4.025,06","R$ 4.195,50","R$ 4.195,50","R$ 4.094,77","R$ 4.290,50","R$ 4.290,50","R$ 4.195,50",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 12.511,06","R$ 16.605,83","R$ 12.315,33"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,195,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 2.000,00",,,"R$ 2.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 194,52","R$ 194,52","R$ 194,52","R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 194,52","R$ 194,52"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,196,Indenizações e Restituições Trabalhistas,15001,"R$ 10.000,00",,,"R$ 10.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,197,Diárias - Pessoal Civil,15001,"R$ 15.000,00",,,"R$ 10.820,00","R$ 1.080,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 2.900,00","R$ 2.780,00","R$ 2.780,00","R$ 200,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.180,00","R$ 2.780,00","R$ 2.780,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,198,Materiais de Consumo,15001,"R$ 50.000,00",,,"R$ 35.243,28","R$ 6.091,58","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.352,27","R$ 310,96","R$ 7.045,00","R$ 3.087,55","R$ 4.020,86","R$ 1.620,14","R$ 1.166,87","R$ 147,41",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 14.756,72","R$ 5.606,69","R$ 4.479,23"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,199,Passagens e despesas com locomoção,15001,"R$ 5.000,00",,,"R$ 5.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,200,Serviços de Terceiro PF ,15001,"R$ 20.000,00",,,"R$ 13.048,90","R$ 6.951,10","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.390,22","R$ 1.390,22","R$ 0,00","R$ 1.390,22","R$ 1.390,22","R$ 0,00","R$ 1.390,22","R$ 1.390,22",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.951,10","R$ 4.170,66","R$ 4.170,66"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,201,Serviços de Terceiros PJ,15001,"R$ 80.000,00",,,"R$ 14.875,25","R$ 64.394,99","R$ 187,57","R$ 187,57","R$ 1.280,00","R$ 6.438,59","R$ 6.069,99","R$ 384,34","R$ 7.579,04","R$ 7.563,30","R$ 345,42","R$ 8.880,77","R$ 6.901,82",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 65.124,75","R$ 23.085,97","R$ 20.722,68"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,202,Auxílio-alimentação,15001,"R$ 7.000,00",,,"R$ 4.650,00","R$ 750,00","R$ 750,00","R$ 750,00","R$ 695,00","R$ 695,00","R$ 695,00","R$ 800,00","R$ 800,00","R$ 800,00","R$ 800,00","R$ 800,00","R$ 800,00",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 2.350,00","R$ 3.045,00","R$ 3.045,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,203,Despesas de exercícios anteriores,15001,"R$ 1.000,00",,,"R$ 884,65","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 115,35","R$ 115,35","R$ 115,35","R$ 0,00","R$ 800,00",,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 115,35","R$ 915,35","R$ 115,35"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,205,Equipamentos e Materiais Permanentes ,15001,"R$ 20.000,00",,,"R$ 19.999,48","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,"R$ 0,52","R$ 0,52","R$ 0,52",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,52","R$ 0,52","R$ 0,52"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,204,Indenizações e restrições,1569,"R$ 50,00",,,"R$ 49,48","R$ 0,00","R$ 0,00","R$ 0,00",,,,"R$ 0,00",,,"R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 50,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,201,Serviços de Terceiros PJ,1571,"R$ 50,00",,,"R$ 0,00","R$ 50,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,204,Indenizações e restrições,1571,"R$ 50,00",,,"R$ 50,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,"R$ 17,21","R$ 17,21","R$ 17,21",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 17,21","R$ 17,21","R$ 17,21"
Secretaria,2.269,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS DA EDUCAÇÃO,204,Indenizações e restrições,2569,"R$ 50,00",,,"R$ 32,79","R$ 0,00","R$ 0,00","R$ 0,00",,,,"R$ 0,00",,,"R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.100,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",215,Obras e Instalações ,15001,"R$ 250.000,00",,"R$ 175.485,63","R$ 74.514,37","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,1.100,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",215,Obras e Instalações ,1550,"R$ 200.000,00",,,"R$ 200.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil ,1.105,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",228,Obras e Instalações ,15001,"R$ 150.000,00",,"R$ 13.242,03","R$ 136.757,97","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 0,00",,,"R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Educação Infantil ,1.105,"CONSTRUÇÃO, AMPLIAÇÃO E REFORMAS DE PRÉDIOS E AMBIENTES ESCOLARES ",228,Obras e Instalações ,1550,"R$ 150.000,00",,,"R$ 150.000,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,"R$ 83,15","R$ 83,15","R$ 83,15","R$ 1.076,41","R$ 1.076,41","R$ 1.076,41",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 1.159,56","R$ 1.159,56","R$ 1.159,56"
Secretaria,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,209,Outras Despesas Variáveis - Pessoal Civil,1500,"R$ 0,00","R$ 5.000,00",,,"R$ 0,00","R$ 0,00","R$ 0,00",,,,"R$ 16.507,32","R$ 16.507,32","R$ 16.507,32","R$ 6.159,44","R$ 6.159,44","R$ 6.159,44",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 22.666,76","R$ 22.666,76","R$ 22.666,76"
Secretaria,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,210,Indenizações e Restituições Trabalhistas,1500,"R$ 0,00","R$ 22.666,76",,,"R$ 0,00","R$ 0,00","R$ 0,00",,,,"R$ 29.782,74","R$ 29.782,74","R$ 28.915,83","R$ 12.332,50","R$ 12.332,50","R$ 14.827,50",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 69.582,76","R$ 96.493,04","R$ 94.064,93"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,206,Contratação por tempo Determinado,15001,"R$ 158.000,00",,,"R$ 88.417,24","R$ 27.467,52","R$ 27.467,52","R$ 23.443,23","R$ 26.910,28","R$ 26.910,28","R$ 26.878,37","R$ 6.804,12","R$ 6.804,12","R$ 6.804,12","R$ 10.234,84","R$ 10.234,84","R$ 10.234,84",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 20.280,96","R$ 23.522,96","R$ 23.522,96"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,207,Vencimentos e Vantagens Fixas - Pessoal Civil,15001,"R$ 350.000,00",,,"R$ 329.719,04","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 3.242,00","R$ 1.388,76","R$ 1.388,76","R$ 553,53","R$ 2.741,18","R$ 2.741,18","R$ 1.388,76",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 4.683,47","R$ 5.237,00","R$ 2.495,82"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,208,Obrigações Patronais,15001,"R$ 45.000,00",,,"R$ 40.316,53","R$ 553,53","R$ 553,53",,"R$ 553,53","R$ 553,53","R$ 553,53","R$ 3.974,69","R$ 3.974,69","R$ 3.974,69","R$ 2.627,61","R$ 2.627,61","R$ 2.627,61",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 6.729,01","R$ 7.631,81","R$ 7.631,81"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,209,Outras Despesas Variáveis - Pessoal Civil,15001,"R$ 80.000,00",,,"R$ 73.270,99","R$ 126,71","R$ 126,71","R$ 126,71","R$ 902,80","R$ 902,80","R$ 902,80","R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,210,Indenizações e Restituições Trabalhistas,15001,"R$ 16.000,00",,"R$ 2.648,89","R$ 13.351,11","R$ 0,00","R$ 0,00",,"R$ 0,00",,,"R$ 191.335,48","R$ 28.571,65","R$ 30.883,70","R$ 7.842,22","R$ 52.388,83","R$ 41.240,70",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 287.078,07","R$ 111.339,01","R$ 85.086,76"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,211,Materiais de Consumo,15001,"R$ 350.000,00",,,"R$ 62.921,93","R$ 87.900,37","R$ 0,00",,"R$ 15.117,60","R$ 30.378,53","R$ 12.962,36","R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,212,Serviços de Terceiro PF ,15001,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00",,"R$ 0,00",,,"-R$ 40.911,09","R$ 130.751,84","R$ 137.112,35","R$ 5.517,84","R$ 153.442,79","R$ 153.505,35",,,,,,,,,,,,,,,,,,,,,,,,,"-R$ 20.650,53","R$ 294.392,07","R$ 294.280,63"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,213,Serviços de Terceiros PJ,15001,"R$ 1.400.000,00",,,"R$ 1.420.650,53","R$ 14.742,72","R$ 0,00",,"R$ 687.610,82","R$ 10.197,44","R$ 3.662,93","R$ 2.073,33","R$ 2.073,33","R$ 2.073,33","R$ 1.709,86","R$ 1.709,86","R$ 1.709,86",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 5.283,19","R$ 6.783,19","R$ 6.783,19"
Ensino Geral,2.249,MANUTENÇÃO DO TRANSPORTE ESCOLAR ,214,Auxílio-alimentação,15001,"R$ 21.600,00",,,"R$ 16.316,81","R$ 1.500,00","R$ 1.500,00","R$ 1.500,00","R$ 1.500,00","R$ 1.500,00","R$ 1.500,00","R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,217,Vencimentos e Vantagens Fixas - Pessoal Civil,1500,"R$ 25.000,00",,"R$ 8.250,00","R$ 16.750,00","R$ 0,00","R$ 0,00",,"R$ 0,00",,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,218,Obrigações Patronais,1500,"R$ 4.000,00",,,"R$ 4.000,00","R$ 0,00","R$ 0,00",,"R$ 0,00",,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,219,Outras Despesas Variáveis - Pessoal Civil,1500,"R$ 1.000,00",,,"R$ 1.000,00","R$ 0,00","R$ 0,00",,"R$ 0,00",,,"R$ 3.390,90","R$ 3.390,90","R$ 3.390,90","R$ 16.454,15","R$ 16.454,15","R$ 16.454,15",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 27.493,94","R$ 27.493,94","R$ 27.493,94"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,220,Indenizações e Restituições Trabalhistas,1500,"R$ 5.000,00","R$ 2.648,89",,"-R$ 19.845,05","R$ 7.648,89","R$ 7.648,89","R$ 7.648,89","R$ 0,00",,,"R$ 0,00","R$ 144,00","R$ 144,00","R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 144,00","R$ 144,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,221,Diárias - Pessoal Civil,1500,"R$ 4.000,00",,,"R$ 4.000,00","R$ 0,00","R$ 0,00",,"R$ 300,00",,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,223,Serviços de Terceiro PF ,1500,"R$ 3.000,00",,,"R$ 3.000,00","R$ 0,00","R$ 0,00",,"R$ 0,00",,,"R$ 0,00",,,"R$ 21.076,01",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 21.076,01","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,224,Serviços de Terceiros PJ,1500,"R$ 1.000,00",,,"-R$ 20.076,01","R$ 0,00","R$ 0,00",,"R$ 0,00",,,"R$ 0,00",,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 0,00","R$ 0,00","R$ 0,00"
Ensino Fundamental,2.270,MANUTENÇÃO DAS ATIVIDADES DA EDUCAÇÃO ,225,Auxílio-alimentação,1500,"R$ 1.800,00",,,"R$ 1.800,00","R$ 0,00","R$ 0,00",,"R$ 0,00",,,"R$ 24.225,19","R$ 24.225,19","R$ 22.115,20","R$ 22.530,12","R$ 22.530,12","R$ 22.711,80",,,,,,,,,,,,,,,,,,,,,,,,,"R$ 58.334,60","R$ 68.091,74","R$ 64.740,47"
